image_path,mask_path,split
D:\FDS\Small_project\Fire Detection\Dataset\images\R96_diesel_small_op69_sz41\frame_0109_t3.8s.png,D:\FDS\Small_project\Fire Detection\Dataset\masks_binary\R96_diesel_small_op69_sz41\frame_0109_t3.8s.png,train
D:\FDS\Small_project\Fire Detection\Dataset\images\F4_methane_large_op50\frame_0093_t23.3s.png,D:\FDS\Small_project\Fire Detection\Dataset\masks_binary\F4_methane_large_op50\frame_0093_t23.3s.png,train
D:\FDS\Small_project\Fire Detection\Dataset\images\S24_DECAY_N-HEPTANE_large\frame_0387_t12.5s.png,D:\FDS\Small_project\Fire Detection\Dataset\masks_binary\S24_DECAY_N-HEPTANE_large\frame_0387_t12.5s.png,train
D:\FDS\Small_project\Fire Detection\Dataset\images\S32_DECAY_ETHANOL_medium\frame_0572_t18.0s.png,D:\FDS\Small_project\Fire Detection\Dataset\masks_binary\S32_DECAY_ETHANOL_medium\frame_0572_t18.0s.png,train
D:\FDS\Small_project\Fire Detection\Dataset\images\VALIDATION_TEST2_METHANE_medium_op40\frame_0109_t3.7s.png,D:\FDS\Small_project\Fire Detection\Dataset\masks_binary\VALIDATION_TEST2_METHANE_medium_op40\frame_0109_t3.7s.png,train
D:\FDS\Small_project\Fire Detection\Dataset\images\R35_acetone_large_op73_sz60\frame_0982_t30.0s.png,D:\FDS\Small_project\Fire Detection\Dataset\masks_binary\R35_acetone_large_op73_sz60\frame_0982_t30.0s.png,train
D:\FDS\Small_project\Fire Detection\Dataset\images\R52_acetone_small_op38_sz37\frame_0000_t0.0s.png,D:\FDS\Small_project\Fire Detection\Dataset\masks_binary\R52_acetone_small_op38_sz37\frame_0000_t0.0s.png,train
D:\FDS\Small_project\Fire Detection\Dataset\images\R39_propane_large_op60_sz37\frame_0875_t26.7s.png,D:\FDS\Small_project\Fire Detection\Dataset\masks_binary\R39_propane_large_op60_sz37\frame_0875_t26.7s.png,train
D:\FDS\Small_project\Fire Detection\Dataset\images\W18_WIND_4_6ms_ACETONE_large\frame_0332_t10.0s.png,D:\FDS\Small_project\Fire Detection\Dataset\masks_binary\W18_WIND_4_6ms_ACETONE_large\frame_0332_t10.0s.png,train
D:\FDS\Small_project\Fire Detection\Dataset\images\E3_fire_center_size_75\frame_0120_t30.0s.png,D:\FDS\Small_project\Fire Detection\Dataset\masks_binary\E3_fire_center_size_75\frame_0120_t30.0s.png,train
D:\FDS\Small_project\Fire Detection\Dataset\images\R78_diesel_medium_op82_sz33\frame_0218_t7.1s.png,D:\FDS\Small_project\Fire Detection\Dataset\masks_binary\R78_diesel_medium_op82_sz33\frame_0218_t7.1s.png,train
D:\FDS\Small_project\Fire Detection\Dataset\images\S39_PULSATING_ETHANOL_small\frame_0215_t7.3s.png,D:\FDS\Small_project\Fire Detection\Dataset\masks_binary\S39_PULSATING_ETHANOL_small\frame_0215_t7.3s.png,train
D:\FDS\Small_project\Fire Detection\Dataset\images\A1_small_room_opening_0\frame_0013_t3.3s.png,D:\FDS\Small_project\Fire Detection\Dataset\masks_binary\A1_small_room_opening_0\frame_0013_t3.3s.png,train
D:\FDS\Small_project\Fire Detection\Dataset\images\A2_small_room_opening_50\frame_0106_t26.5s.png,D:\FDS\Small_project\Fire Detection\Dataset\masks_binary\A2_small_room_opening_50\frame_0106_t26.5s.png,train
D:\FDS\Small_project\Fire Detection\Dataset\images\R42_methane_medium_op72_sz59\frame_0437_t13.6s.png,D:\FDS\Small_project\Fire Detection\Dataset\masks_binary\R42_methane_medium_op72_sz59\frame_0437_t13.6s.png,train
D:\FDS\Small_project\Fire Detection\Dataset\images\R83_propane_large_op61_sz51\frame_0218_t7.0s.png,D:\FDS\Small_project\Fire Detection\Dataset\masks_binary\R83_propane_large_op61_sz51\frame_0218_t7.0s.png,train
D:\FDS\Small_project\Fire Detection\Dataset\images\S42_PULSATING_N-HEPTANE_large\frame_0542_t17.0s.png,D:\FDS\Small_project\Fire Detection\Dataset\masks_binary\S42_PULSATING_N-HEPTANE_large\frame_0542_t17.0s.png,train
D:\FDS\Small_project\Fire Detection\Dataset\images\F3_methane_small_op50\frame_0013_t3.3s.png,D:\FDS\Small_project\Fire Detection\Dataset\masks_binary\F3_methane_small_op50\frame_0013_t3.3s.png,train
